=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.06 10:21:43 =~=~=~=~=~=~=~=~=~=~=~=
SSX1272 module configuration in Arduino
SX1272 Module on
Frequency channel D90666 has been successfully set.
Output power F has been successfully set.
#Verification of parameters:#
  Node address: 8
  Bandwidth: 0
  Coding rate: 1
  Spreading factor: 12
  Header mode: 0
  CRC field: 1
  BW: 0
SX1272 successfully configured !

 
Module ready for reception ! 
Packet status ; Packet number ; Received data ; RSSI packet (dBm) ; source address

 
Adafruit GPS library basic test!
$PMTK605*31
10607
status ; RSSI ; RSSI packet ; SNR ; source-address ; lat , lng
1 ; -81 ; -88 ; 6 ; 2 ; 43.5708; 1.4665

1 ; -111 ; -74 ; 7 ; 2 ; 43.5708; 1.4665

1 ; -112 ; -85 ; 6 ; 2 ; 43.5707; 1.4665

1 ; -111 ; -78 ; 8 ; 2 ; 43.5708; 1.4665

1 ; -112 ; -80 ; 6 ; 2 ; 43.5707; 1.4665

1 ; -112 ; -82 ; 9 ; 2 ; 43.5707; 1.4665

1 ; -113 ; -79 ; 7 ; 2 ; 43.5707; 1.4665

1 ; -114 ; -75 ; 7 ; 2 ; 43.5707; 1.4665

1 ; -113 ; -73 ; 6 ; 2 ; 43.5707; 1.4664

1 ; -112 ; -79 ; 7 ; 2 ; 43.5706; 1.4664

1 ; -112 ; -72 ; 6 ; 2 ; 43.5706; 1.4663

1 ; -113 ; -84 ; 7 ; 2 ; 43.5706; 1.4662

1 ; -113 ; -76 ; 8 ; 2 ; 43.5706; 1.4661

1 ; -113 ; -75 ; 7 ; 2 ; 43.5705; 1.4660

1 ; -114 ; -76 ; 6 ; 2 ; 43.5706; 1.4659

1 ; -112 ; -76 ; 7 ; 2 ; 43.5706; 1.4659

1 ; -112 ; -81 ; 6 ; 2 ; 43.5706; 1.4659

1 ; -113 ; -74 ; 6 ; 2 ; 43.5706; 1.4658

1 ; -112 ; -71 ; 6 ; 2 ; 43.5705; 1.4658

1 ; -113 ; -78 ; 7 ; 2 ; 43.5704; 1.4658

1 ; -112 ; -80 ; 6 ; 2 ; 43.5704; 1.4658

1 ; -112 ; -82 ; 7 ; 2 ; 43.5703; 1.4658

1 ; -114 ; -79 ; 8 ; 2 ; 43.5703; 1.4658

1 ; -113 ; -81 ; 7 ; 2 ; 43.5702; 1.4657

1 ; -113 ; -88 ; 7 ; 2 ; 43.5702; 1.4656

1 ; -110 ; -75 ; 7 ; 2 ; 43.5701; 1.4655

1 ; -113 ; -71 ; 7 ; 2 ; 43.5701; 1.4656

1 ; -112 ; -73 ; 8 ; 2 ; 

1 ; -112 ; -76 ; 7 ; 2 ; 

1 ; -113 ; -70 ; 7 ; 2 ; 

1 ; -112 ; -75 ; 7 ; 2 ; 43.5702; 1.4659

1 ; -111 ; -70 ; 6 ; 2 ; 43.5703; 1.4660

1 ; -112 ; -77 ; 6 ; 2 ; 43.5703; 1.4661

1 ; -113 ; -78 ; 6 ; 2 ; 43.5702; 1.4663

1 ; -112 ; -80 ; 7 ; 2 ; 43.5701; 1.4663

1 ; -111 ; -80 ; 6 ; 2 ; 43.5701; 1.4664

1 ; -103 ; -82 ; 7 ; 2 ; 43.5701; 1.4665

1 ; -115 ; -86 ; 7 ; 2 ; 43.5701; 1.4666

1 ; -113 ; -93 ; 8 ; 2 ; 43.5701; 1.4666

1 ; -113 ; -90 ; 6 ; 2 ; 43.5702; 1.4667

1 ; -114 ; -91 ; 8 ; 2 ; 43.5702; 1.4668

1 ; -112 ; -96 ; 7 ; 2 ; 43.5703; 1.4669

1 ; -112 ; -91 ; 8 ; 2 ; 43.5704; 1.4670

1 ; -112 ; -88 ; 8 ; 2 ; 43.5704; 1.4669

2 ; -105 ; -89 ; 8 ; 0 ; 43.5703; 1.4668

1 ; -112 ; -86 ; 7 ; 2 ; 43.5703; 1.4668

1 ; -112 ; -89 ; 6 ; 2 ; 43.5702; 1.4667

1 ; -113 ; -82 ; 6 ; 2 ; 43.5700; 1.4667

1 ; -114 ; -88 ; 6 ; 2 ; 43.5699; 1.4668

1 ; -109 ; -81 ; 7 ; 2 ; 43.5698; 1.4668

1 ; -111 ; -82 ; 6 ; 2 ; 

1 ; -114 ; -83 ; 6 ; 2 ; 43.5697; 1.4668

1 ; -109 ; -83 ; 7 ; 2 ; 43.5696; 1.4668

1 ; -113 ; -90 ; 7 ; 2 ; 43.5696; 1.4668

1 ; -113 ; -92 ; 7 ; 2 ; 43.5695; 1.4670

